Chemical.ID	Chemical.Name	pathway	parent	uniqueID	readout	curvep_wauc	curvep_pod	curvep_remark	curvep_n_corrections	curvep_mask	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	curvep_r0	curvep_r1	curvep_r2	curvep_r3	curvep_r4	curvep_r5
N6_2	59	TOG		N6_2	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.433623286	4.417934878	1.889366195	-2.101680023	-0.994657414	-9.701447513	0	0	0	0	0	0
N60	60	TOG		N60	luc.a	0	-4	NOISY	1	0 1 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.97060892	-17.76497834	0.607614472	3.108435308	-7.134367937	-10.51398821	0	0	0	0	0	0
N61	61	TOG		N61	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	3.160611653	-3.372628806	2.734901696	-1.622252825	0.521333973	3.372033726	0	0	0	0	0	0
N62	62	TOG		N62	luc.a	-14.03183	-4.27524299	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.953205301	6.988369329	-2.513898482	-2.169482815	-6.233406878	-31.67224844	0	0	0	0	0	-31.6722484
N63	63	TOG		N63	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.387583694	7.691332292	-0.028016357	-3.071085677	-8.509598593	-7.266770195	0	0	0	0	0	0
N64	64	TOG		N64	luc.a	-48.3086666	-4.57752581	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.836733078	0.028927485	0.357981904	-7.536102276	-16.9402509	-69.4422433	0	0	0	0	-16.9402509	-69.4422433
N65	65	TOG		N65	luc.a	0	-4	NOISY	1	0 1 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.291292887	-24.1104835	0.734513267	-0.312094242	-10.53882389	-12.48913124	0	0	0	0	0	0
N66	66	TOG		N66	luc.a	-30.7873168	-4.61132881	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.853033621	-6.609955734	-2.082457049	-0.497785074	-18.41355634	-29.21174922	0	0	0	0	-18.4135563	-29.2117492
N67	67	TOG		N67	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.440305875	-0.034395026	-2.496613127	-5.212810917	-12.42476099	-20.74872264	0	0	0	0	0	-20.7487226
N68	68	TOG		N68	luc.a	0	-4	SINGLE_POINT_ACT	1	0 0 0 0 0 1	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.784392845	1.56966054	-0.404051639	-0.894661209	-21.06634967	-15.51122923	0	0	0	0	-21.0663497	-21.0663497
N69_1	69	TOG		N69_1	luc.a	-402.085292	-6.11007537	OK	1	0 0 0 0 0 1	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-9.487032008	-18.99979904	-83.9555143	-91.80552932	-90.14831919	-84.53433234	0	-18.999799	-83.9555143	-91.8055293	-90.1483192	-90.1483192
N69_2	70	TOG		N69_2	luc.a	-380.393478	-5.92158588	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-11.77801182	-11.31822492	-91.26951313	-92.84118664	-93.15812159	-89.62460571	0	0	-91.2695131	-92.8411866	-93.1581216	-89.6246057
N7	71	TOG		N7	luc.a	-108.333051	-4.88845522	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.450703279	2.024272016	0.413739447	-3.093253266	-64.16094856	-91.14556371	0	0	0	0	-64.1609486	-91.1455637
N70	72	TOG		N70	luc.a	-165.65436	-5.05181355	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.488180852	6.638811926	5.382671896	-16.64988466	-97.17702205	-98.73965858	0	0	0	-16.6498847	-97.1770221	-98.7396586
N71	73	TOG		N71	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.87260392	11.33653442	-1.465858197	-0.755590607	-2.065947565	-1.977635544	0	0	0	0	0	0
N72	74	TOG		N72	luc.a	0	-4	NOISY	1	0 0 0 1 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.641995211	8.931438254	6.975844227	-26.63900471	-6.464274211	6.257570361	0	0	0	0	0	0
N73	75	TOG		N73	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.224229802	7.135562539	-8.162876594	-6.184151766	-4.631854636	-4.695325956	0	0	0	0	0	0
N74	76	TOG		N74	luc.a	-45.3954707	-4.44332468	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.909007975	5.726937083	-6.759393598	-8.179960285	-14.64814381	-98.58931747	0	0	0	0	0	-98.5893175
N75	77	TOG		N75	luc.a	-90.1131767	-4.85012169	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-5.421889851	2.181532884	-4.145227783	-6.673220076	-47.75086461	-87.96903988	0	0	0	0	-47.7508646	-87.9690399
N76	78	TOG		N76	luc.a	-128.281871	-4.91059489	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.737760475	5.160146893	-7.778108205	-10.90747609	-80.04932781	-98.99706598	0	0	0	0	-80.0493278	-98.997066
N8	79	TOG		N8	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.249441726	-4.899083463	0.503034197	2.726927118	-5.715191546	-2.84145773	0	0	0	0	0	0
N81_1	80	TOG		N81_1	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-5.190036746	0.542457531	1.143951399	-0.822629133	-0.25729081	1.512565583	0	0	0	0	0	0
N81_2	81	TOG		N81_2	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.540264422	8.957491368	-2.32839484	1.737569213	0.076002842	0.211821849	0	0	0	0	0	0
N81_3	82	TOG		N81_3	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.027389943	0.437451098	-2.539234834	-1.43126377	-0.34549198	1.522677926	0	0	0	0	0	0
N81_4	83	TOG		N81_4	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.413190815	5.897637377	2.875137861	4.592794913	-4.943070438	-2.034516006	0	0	0	0	0	0
N81_5	84	TOG		N81_5	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.860371373	3.67570169	-3.135292792	-2.00979252	-0.134781313	0.952811739	0	0	0	0	0	0
N81_6	85	TOG		N81_6	luc.a	0	-4	NOISY	1	0 1 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.069699685	-29.49900121	3.943295302	-0.924245536	4.217972369	-0.207426258	0	0	0	0	0	0
N81_7	86	TOG		N81_7	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-4.466590076	5.639853414	-6.034850416	-1.882914027	3.179798993	-0.838544697	0	0	0	0	0	0
N81_8	87	TOG		N81_8	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.826239429	4.348408741	6.075388321	0.74048086	-1.793139664	-3.585003691	0	0	0	0	0	0
N9	88	TOG		N9	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.440235851	3.107852861	-0.087721886	2.940384562	-7.235817916	-7.595334572	0	0	0	0	0	0
