Chemical.ID	Chemical.Name	pathway	parent	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	uniqueID	readout
N51	49	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	6.379304349	8.102354298	0.795526178	-2.509901377	-3.581954699	-11.96338866	N51	luc.a
N52	50	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.019094773	-19.30393818	0.319359857	-1.22798449	-0.321382715	-2.156680082	N52	luc.a
N53	51	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.178966565	2.841012238	2.50866766	-4.850321592	-4.99090578	-4.888539264	N53	luc.a
N54	52	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.738467322	4.621754703	-1.280075509	1.04220587	-6.176081106	-7.291433208	N54	luc.a
N55	53	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.360259835	5.370779062	2.913548039	-3.301474455	-24.72151992	-7.311434969	N55	luc.a
N56	54	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.568364637	1.831112688	1.620732655	1.068647927	-5.613468612	-4.929827585	N56	luc.a
N57	55	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.852550851	1.709332116	1.219257671	4.614953465	-0.600122136	-6.257524108	N57	luc.a
N58	56	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.035693752	-4.912207944	3.673628258	-8.849671656	-7.293038704	-12.9652934	N58	luc.a
N59	57	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.187153516	3.851912202	2.053755349	-1.036411907	-10.48160309	-26.46229599	N59	luc.a
N6_1	58	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.20637903	2.475284118	-2.643711758	-3.040048988	-8.490045576	-3.225217102	N6_1	luc.a
N6_2	59	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.433623286	4.417934878	1.889366195	-2.101680023	-0.994657414	-9.701447513	N6_2	luc.a
N60	60	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.97060892	-17.76497834	0.607614472	3.108435308	-7.134367937	-10.51398821	N60	luc.a
N61	61	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	3.160611653	-3.372628806	2.734901696	-1.622252825	0.521333973	3.372033726	N61	luc.a
N62	62	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.953205301	6.988369329	-2.513898482	-2.169482815	-6.233406878	-31.67224844	N62	luc.a
N63	63	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.387583694	7.691332292	-0.028016357	-3.071085677	-8.509598593	-7.266770195	N63	luc.a
N64	64	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.836733078	0.028927485	0.357981904	-7.536102276	-16.9402509	-69.4422433	N64	luc.a
N65	65	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.291292887	-24.1104835	0.734513267	-0.312094242	-10.53882389	-12.48913124	N65	luc.a
N66	66	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.853033621	-6.609955734	-2.082457049	-0.497785074	-18.41355634	-29.21174922	N66	luc.a
N67	67	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.440305875	-0.034395026	-2.496613127	-5.212810917	-12.42476099	-20.74872264	N67	luc.a
N68	68	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.784392845	1.56966054	-0.404051639	-0.894661209	-21.06634967	-15.51122923	N68	luc.a
N69_1	69	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-9.487032008	-18.99979904	-83.9555143	-91.80552932	-90.14831919	-84.53433234	N69_1	luc.a
N69_2	70	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-11.77801182	-11.31822492	-91.26951313	-92.84118664	-93.15812159	-89.62460571	N69_2	luc.a
N7	71	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.450703279	2.024272016	0.413739447	-3.093253266	-64.16094856	-91.14556371	N7	luc.a
N70	72	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.488180852	6.638811926	5.382671896	-16.64988466	-97.17702205	-98.73965858	N70	luc.a
N71	73	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.87260392	11.33653442	-1.465858197	-0.755590607	-2.065947565	-1.977635544	N71	luc.a
N72	74	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.641995211	8.931438254	6.975844227	-26.63900471	-6.464274211	6.257570361	N72	luc.a
N73	75	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.224229802	7.135562539	-8.162876594	-6.184151766	-4.631854636	-4.695325956	N73	luc.a
N74	76	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.909007975	5.726937083	-6.759393598	-8.179960285	-14.64814381	-98.58931747	N74	luc.a
N75	77	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-5.421889851	2.181532884	-4.145227783	-6.673220076	-47.75086461	-87.96903988	N75	luc.a
N76	78	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.737760475	5.160146893	-7.778108205	-10.90747609	-80.04932781	-98.99706598	N76	luc.a
N8	79	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.249441726	-4.899083463	0.503034197	2.726927118	-5.715191546	-2.84145773	N8	luc.a
N81_1	80	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-5.190036746	0.542457531	1.143951399	-0.822629133	-0.25729081	1.512565583	N81_1	luc.a
N81_2	81	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.540264422	8.957491368	-2.32839484	1.737569213	0.076002842	0.211821849	N81_2	luc.a
N81_3	82	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.027389943	0.437451098	-2.539234834	-1.43126377	-0.34549198	1.522677926	N81_3	luc.a
N81_4	83	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.413190815	5.897637377	2.875137861	4.592794913	-4.943070438	-2.034516006	N81_4	luc.a
N81_5	84	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.860371373	3.67570169	-3.135292792	-2.00979252	-0.134781313	0.952811739	N81_5	luc.a
N81_6	85	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.069699685	-29.49900121	3.943295302	-0.924245536	4.217972369	-0.207426258	N81_6	luc.a
N81_7	86	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-4.466590076	5.639853414	-6.034850416	-1.882914027	3.179798993	-0.838544697	N81_7	luc.a
N81_8	87	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.826239429	4.348408741	6.075388321	0.74048086	-1.793139664	-3.585003691	N81_8	luc.a
N9	88	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.440235851	3.107852861	-0.087721886	2.940384562	-7.235817916	-7.595334572	N9	luc.a
